county,candidate,party,votes,state,race name
Fresno,Patrick Little,REP,"1,027",CA,U.S. Senate
Fresno,Kevin Mottus,REP,"1,909",CA,U.S. Senate
Fresno,Mario Nabliba,REP,"1,179",CA,U.S. Senate
Fresno,Tom Palzer,REP,"4,470",CA,U.S. Senate
Fresno,Paul A Taylor,REP,"6,206",CA,U.S. Senate
Fresno,Derrick Michael Reid,LIB,633,CA,U.S. Senate
Fresno,John Thompson Parker,P&F,183,CA,U.S. Senate
Fresno,Colleen Shea Fernald,NPP,140,CA,U.S. Senate
Fresno,Rash Bihari Ghosh,NPP,153,CA,U.S. Senate
Fresno,Tim Gildersleeve,NPP,119,CA,U.S. Senate
Fresno,Michael Fahmy Girgis,NPP,46,CA,U.S. Senate
Fresno,Don J. Grundmann,NPP,172,CA,U.S. Senate
Fresno,Jason M. Hanania,NPP,265,CA,U.S. Senate
Fresno,David Moore,NPP,774,CA,U.S. Senate
Fresno,Lee Olson,NPP,404,CA,U.S. Senate
Fresno,Ling Ling Shi,NPP,277,CA,U.S. Senate
Glenn,Kevin De Leon,DEM,146,CA,U.S. Senate
Glenn,Adrienne Nicole Edwards,DEM,22,CA,U.S. Senate
Glenn,Dianne Feinstein,DEM,686,CA,U.S. Senate
Glenn,Pat Harris,DEM,33,CA,U.S. Senate
Glenn,Alison Hartson,DEM,65,CA,U.S. Senate
Glenn,David Hildebrand,DEM,16,CA,U.S. Senate
Glenn,Herbert G. Peters,DEM,18,CA,U.S. Senate
Glenn,Douglas Howard Pierce,DEM,43,CA,U.S. Senate
Glenn,Gerald Plummer,DEM,5,CA,U.S. Senate
Glenn,Donnie O. Turner,DEM,14,CA,U.S. Senate
Glenn,Arun K. Bhumitra,REP,52,CA,U.S. Senate
Glenn,James P Bradley,REP,684,CA,U.S. Senate
Glenn,"John ""Jack"" Crew",REP,150,CA,U.S. Senate
Glenn,Erin Cruz,REP,373,CA,U.S. Senate
Glenn,"Roque ""Rocky"" De La Fuente",REP,91,CA,U.S. Senate
Glenn,Jerry Joseph Laws,REP,55,CA,U.S. Senate
Glenn,Patrick Little,REP,80,CA,U.S. Senate
Glenn,Kevin Mottus,REP,103,CA,U.S. Senate
Glenn,Mario Nabliba,REP,18,CA,U.S. Senate
Glenn,Tom Palzer,REP,104,CA,U.S. Senate
Glenn,Paul A Taylor,REP,389,CA,U.S. Senate
Glenn,Derrick Michael Reid,LIB,38,CA,U.S. Senate
Glenn,John Thompson Parker,P&F,20,CA,U.S. Senate
Glenn,Colleen Shea Fernald,NPP,5,CA,U.S. Senate
